time,open,high,low,close,volume,num_trades,qav,taker_buy_bav,taker_buy_qav
2020-08-06 15:59:59.999000,399.19000000,400.87000000,394.60000000,399.15000000,100541.62389000,45055,40022942.66413880,51320.54483000,20439052.04457750
2020-08-06 17:59:59.999000,399.18000000,400.09000000,395.18000000,396.76000000,82144.39041000,37656,32660353.43208250,39689.37417000,15780217.70564090
2020-08-06 19:59:59.999000,396.77000000,398.36000000,394.33000000,396.73000000,56274.27966000,28055,22312981.92079550,29607.78092000,11742343.98809350
2020-08-06 21:59:59.999000,396.72000000,398.10000000,392.28000000,395.23000000,55995.26689000,29332,22169214.40752480,25463.20660000,10083148.12284360
2020-08-06 23:59:59.999000,395.23000000,396.08000000,390.51000000,394.77000000,64263.08561000,32228,25289137.29648210,30063.40053000,11833103.08684730
2020-08-07 01:59:59.999000,394.77000000,398.26000000,393.74000000,397.05000000,53135.23199000,26157,21054926.06974830,30082.94765000,11923511.15597540
2020-08-07 03:59:59.999000,397.05000000,398.12000000,395.26000000,395.43000000,34322.78936000,18821,13618304.51631340,18168.09721000,7209635.50068050
2020-08-07 05:59:59.999000,395.45000000,396.20000000,393.26000000,394.50000000,37759.13564000,20155,14903435.38644360,17646.62818000,6965227.68852480
2020-08-07 07:59:59.999000,394.49000000,395.72000000,393.21000000,394.13000000,31391.05055000,16246,12380175.25242430,17431.97996000,6875610.21289740
2020-08-07 09:59:59.999000,394.14000000,397.43000000,392.17000000,395.90000000,58787.28644000,27647,23247821.11173020,30971.44032000,12249233.68490980
2020-08-07 11:59:59.999000,395.88000000,396.52000000,392.96000000,394.13000000,51610.41243000,21132,20367498.96729720,25110.88617000,9910611.27808550
2020-08-07 13:59:59.999000,394.11000000,395.54000000,391.80000000,393.98000000,53054.27629000,22810,20888993.20896720,26191.52439000,10314788.58321060
2020-08-07 15:59:59.999000,393.97000000,394.07000000,376.75000000,385.49000000,173529.45546000,73505,66958017.55384140,76326.43554000,29431996.14150030
2020-08-07 17:59:59.999000,385.47000000,386.89000000,362.85000000,373.56000000,286074.67759000,113935,107221417.69095610,125374.36737000,47015162.33904360
2020-08-07 19:59:59.999000,373.55000000,376.81000000,364.60000000,374.36000000,153089.39529000,67868,56870698.67043250,76027.48565000,28270499.21481930
2020-08-07 21:59:59.999000,374.36000000,380.00000000,373.06000000,379.29000000,62592.57077000,32658,23646728.94200690,33076.62143000,12496170.45961260
2020-08-07 23:59:59.999000,379.28000000,383.23000000,378.07000000,379.34000000,45861.07765000,25614,17467549.69375090,23382.41282000,8907111.26308430
2020-08-08 01:59:59.999000,379.34000000,382.73000000,375.79000000,381.41000000,51871.93152000,24758,19697326.66416860,24512.86465000,9306068.37993510
2020-08-08 03:59:59.999000,381.41000000,382.43000000,376.86000000,378.01000000,33697.25526000,18505,12783267.60952500,16354.60314000,6203680.61785620
2020-08-08 05:59:59.999000,378.01000000,381.09000000,377.13000000,380.43000000,31749.72462000,17491,12030050.89537380,14760.74577000,5593013.58363350
2020-08-08 07:59:59.999000,380.42000000,381.56000000,379.72000000,379.97000000,26319.35391000,15199,10011978.88179140,13901.44853000,5288255.73550620
2020-08-08 09:59:59.999000,379.96000000,386.17000000,377.95000000,385.86000000,56959.85671000,27503,21752131.69944970,31355.78754000,11970238.91102510
2020-08-08 11:59:59.999000,385.86000000,392.23000000,384.16000000,391.61000000,77470.62481000,36504,30100109.19578190,39274.15350000,15269012.55030690
2020-08-08 13:59:59.999000,391.62000000,393.22000000,388.95000000,390.19000000,67946.54230000,26557,26572290.52790740,36123.00254000,14128097.85772650
2020-08-08 15:59:59.999000,390.19000000,392.48000000,387.56000000,390.46000000,58459.22937000,24775,22815841.41174130,32919.15062000,12853268.22577760
2020-08-08 17:59:59.999000,390.47000000,392.55000000,385.79000000,391.57000000,81917.87140000,34846,31867248.70393270,45382.56860000,17666874.84554540
2020-08-08 19:59:59.999000,391.54000000,391.57000000,387.00000000,389.26000000,42595.16010000,24792,16604037.88420410,20440.37702000,7968970.78404160
2020-08-08 21:59:59.999000,389.26000000,391.23000000,386.52000000,391.20000000,36431.93945000,21731,14168630.63751960,17122.22597000,6660138.16939160
2020-08-08 23:59:59.999000,391.20000000,397.05000000,388.51000000,397.03000000,57610.29108000,27916,22596283.91288970,33613.94893000,13198229.43443670
2020-08-09 01:59:59.999000,397.05000000,400.00000000,392.77000000,395.62000000,116683.06560000,54308,46373636.68957830,60897.00612000,24212701.94771270
2020-08-09 03:59:59.999000,395.62000000,397.40000000,394.51000000,394.87000000,34316.76285000,20487,13587074.51671370,17547.25144000,6948304.89289230
2020-08-09 05:59:59.999000,394.86000000,395.72000000,392.53000000,392.53000000,32961.74358000,18340,12992676.19698980,15990.67845000,6304467.28407160
2020-08-09 07:59:59.999000,392.54000000,395.60000000,392.30000000,395.34000000,28398.19469000,15610,11190394.46190380,14822.58318000,5841601.30564310
2020-08-09 09:59:59.999000,395.34000000,396.37000000,383.36000000,389.35000000,65698.45849000,33681,25739405.55598900,30660.04223000,12030087.25868930
2020-08-09 11:59:59.999000,389.36000000,393.28000000,387.00000000,391.89000000,50839.39044000,27078,19847512.02347130,23647.57189000,9235270.79478060
2020-08-09 13:59:59.999000,391.88000000,391.90000000,386.37000000,387.57000000,50938.71848000,27030,19798771.60827200,23227.96454000,9033120.89131720
2020-08-09 15:59:59.999000,387.58000000,388.60000000,384.00000000,386.66000000,55920.74001000,31055,21594493.75770190,24802.84417000,9582496.44635010
